SampleID,Site,Datetime,doy,yearS,Temperature,SpC,DO,pH,TDS,Turbidity,ANC_H,ANC_CACO3,Al,Ca,Fe,K,Mg,Mn,Na,Si,Sr,Fl,Chloride,Br,Nitrate,Phosphate_P,Sulfate,Ammonium_N,Nitrate_plus_Nitrite_N,TP,TN,DOC,FI,HIX,FDOM_lab,d2H,d18O,As,Ba,Cr,Cu,Mo,Ni,Pb,Sb,Se,V,Zn
NA,stream_gauge,2016-04-18T20:00:00Z,109,2016,NA,NA,NA,NA,NA,NA,NA,NA,0.01211,13.66589,0,0.20482,0.28734,0,0.86104,NA,NA,NA,0.87,NA,0.37,NA,6.58,NA,NA,NA,NA,1.7,1.71,NA,NA,-126.96,-17.17,0.00337,0.00375,0,0,8.7e-4,8.8e-4,0,0.00128,0,0,0.00247
NA,stream_gauge,2016-04-21T23:00:00Z,112,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.33,1.63,NA,NA,-122.12,-16.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Terminus,2016-05-08T01:15:00Z,128,2016,NA,NA,NA,NA,NA,NA,NA,NA,0.01279,9.57307,0,0.10663,0.18944,0,0.63058,NA,NA,NA,0.59,NA,0.29,NA,4.56,NA,NA,NA,NA,1.6,1.73,NA,NA,-126.21,-17.11,0.00222,0.0024,0,0,6.6e-4,3.9e-4,0,8.5e-4,0,0,3.1e-4
NA,Terminus,2016-05-11T01:00:00Z,131,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-121.02,-16.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Terminus,2016-05-11T01:55:00Z,131,2016,0.6,62,NA,8.68,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.31,1.68,NA,NA,-125.47,-16.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Terminus,2016-05-11T19:13:00Z,132,2016,0.7,54,NA,8.15,27,NA,NA,NA,0,9.22329,0,0.10117,0.20585,0,0.60329,NA,NA,NA,0,NA,NA,NA,23.71,NA,NA,NA,NA,0.42,1.71,NA,NA,-127.27,-17.25,0.00221,0.00302,0,4.2e-4,5.1e-4,0,0,0.00237,0,0,0.0024
NA,stream_gauge,2016-05-11T21:05:00Z,132,2016,1,53,NA,7.91,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.57,1.55,NA,NA,-117.88,-16.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,lake_inlet,2016-05-12T18:15:00Z,133,2016,0.5,35,NA,6.65,22,NA,NA,NA,0.0152,7.39116,0,0.05942,0.16273,0,0.61787,NA,NA,NA,0,NA,0,NA,1.46,NA,NA,NA,NA,0.96,1.43,NA,NA,-130.74,-17.76,7.1e-4,0.00379,0,0,2.8e-4,0,0,8.3e-4,0,0,0.00528
NA,Terminus,2016-05-12T20:00:00Z,133,2016,0.6,53,NA,7.53,27,NA,NA,NA,0.02715,9.14043,0,0.43676,0.2014,0,0.83732,NA,NA,NA,0.8,NA,0.29,NA,4.8,NA,NA,NA,NA,0.24,1.79,NA,NA,-124.61,-16.86,0.00349,0.00243,0,0,0.00119,6.5e-4,0,8.6e-4,0,0,0.01139
NA,lake_inlet,2016-05-13T00:00:00Z,133,2016,0.4,39,NA,7.03,19,NA,NA,NA,0.02286,6.6667,0,0,0.1212,0,0.58657,NA,NA,NA,0.64,NA,0.29,NA,2.14,NA,NA,NA,NA,0.94,1.39,NA,NA,-131.76,-18.05,5.7e-4,0.00375,0,0,0,3.3e-4,0,0,0,0,0.00311
NA,Terminus,2016-05-13T16:40:00Z,134,2016,0.6,51,NA,7.84,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.21,1.75,NA,NA,-120.22,-16.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Nellie_Juan,2016-05-14T19:15:00Z,135,2016,3.2,39,NA,7.77,20,NA,NA,NA,0.0259,5.95642,0,0.10924,0.24624,0,0.53473,NA,NA,NA,0.54,NA,0.45,NA,2.82,NA,NA,NA,NA,2.52,1.49,NA,NA,-113.21,-15.52,4.5e-4,0.00279,0,0,0,4e-4,0,0,0,0,0.00598
NA,Nellie_Juan,2016-05-14T19:30:00Z,135,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-109.73,-13.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,stream_gauge,2016-05-14T19:45:00Z,135,2016,0.9,43,NA,7.75,22,NA,NA,NA,0.02401,7.51732,0,0.1734,0.15131,0,0.51283,NA,NA,NA,0.61,NA,0.3,NA,3.24,NA,NA,NA,NA,0.56,1.44,NA,NA,-123.45,-17,0.00207,0.0022,0,0,0,4.5e-4,0,0,0,0,0.00313
NA,stream_gauge,2016-05-14T19:49:00Z,135,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-128.44,-17.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,stream_gauge,2016-05-14T20:40:00Z,135,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-132.13,-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Terminus,2016-05-14T20:54:00Z,135,2016,1.6,NA,NA,8.1,NA,NA,NA,NA,0.03514,8.5388,0.04619,0.10301,0.14711,0,0.37119,NA,NA,NA,0.42,NA,0.22,NA,2.99,NA,NA,NA,NA,0.31,1.69,NA,NA,-120.9,-16.39,0.0047,0.00211,0,0,4.4e-4,5.2e-4,0,0.00108,0,0,0.0026
NA,stream_gauge,2016-05-15T18:09:00Z,136,2016,2.1,NA,NA,6.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.45,1.62,NA,NA,-123.13,-16.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Terminus,2016-05-15T20:10:00Z,136,2016,1.4,NA,NA,7.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.25,1.52,NA,NA,-127.71,-17.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Terminus,2016-05-16T18:58:00Z,137,2016,0.6,40,NA,8.22,20,NA,NA,NA,0.02403,7.49538,0,0.10966,0.19046,0.00104,0.49852,NA,NA,NA,0,NA,0,NA,1.83,NA,NA,NA,NA,0.28,1.87,NA,NA,-127.76,-17.37,0.00253,0.00285,0,4.3e-4,4.5e-4,0,0,7.4e-4,2.7e-4,0,0.00265
NA,stream_gauge,2016-05-16T19:24:00Z,137,2016,0.9,40,NA,7.75,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.31,1.75,NA,NA,-125.62,-16.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Terminus,2016-05-30T22:08:00Z,151,2016,7.1,40,NA,8.45,19,NA,NA,NA,0.01077,6.44275,0,0.17162,0.21212,0.00239,0.54902,NA,NA,NA,0,NA,0,NA,0.31,NA,NA,NA,NA,0.08,NA,NA,NA,-130.96,-17.93,0.00224,0.00263,0,0.0041,4e-4,0,1.3e-4,7.5e-4,0,0,0.01434
NA,lake_inlet,2016-05-31T00:50:00Z,151,2016,1.1,18,NA,7.92,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,NA,NA,NA,-119.01,-16.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,stream_gauge,2016-05-31T20:05:00Z,152,2016,1.4,32,NA,7.39,16,NA,NA,NA,0.02978,1.78023,0.04922,0.05963,0,0.00103,0,NA,NA,NA,0,NA,0.17,NA,0.71,NA,NA,NA,NA,0.26,NA,NA,NA,-127.33,-17.47,3.8e-4,0.00153,0,0,0,0,0,0,0,0,0.00489
NA,lake_inlet,2016-06-01T17:36:00Z,153,2016,1.5,19,NA,6.67,9,NA,NA,NA,0.01632,1.61527,0,0,0,0,0.11132,NA,NA,NA,0.23,NA,0.19,NA,0.51,NA,NA,NA,NA,0.41,1.36,NA,NA,-125.52,-17.27,2.2e-4,0.00155,0,0,0,0,0,0,0,0,0.00171
NA,Terminus,2016-06-01T19:15:00Z,153,2016,1,36,NA,7.7,18,NA,NA,NA,0,4.8231,0,0.18692,0.13935,0.00145,0.36664,NA,NA,NA,0,NA,NA,NA,1.42,NA,NA,NA,NA,0,2.19,NA,NA,-131.03,-17.8,0.00127,0.00206,0,7.2e-4,3e-4,0,0,5.2e-4,0,0,0.00864
NA,Nellie_Juan,2016-06-02T19:20:00Z,154,2016,3.6,41,NA,7.27,20,NA,NA,NA,0.02533,5.6833,0,0.16463,0.27868,0.0014,0.55134,NA,NA,NA,0.61,NA,0.45,NA,3.57,NA,NA,NA,NA,0.28,1.5,NA,NA,-116.79,-15.99,6.4e-4,0.00297,0,0,5.9e-4,3.5e-4,0,0,0,0,0.00578
NA,Nellie_Juan,2016-07-14T18:30:00Z,196,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.38,1.91,NA,NA,-115.99,-15.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,stream_gauge,2016-07-14T18:48:00Z,196,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.14,2.28,NA,NA,-122.71,-16.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Terminus,2016-07-14T19:04:00Z,196,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-123.06,-16.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,lake_inlet,2016-07-14T21:56:00Z,196,2016,16.1,18,NA,7.65,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.39,NA,NA,NA,-109.22,-13.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Terminus,2016-07-15T19:54:00Z,197,2016,3.5,18,NA,7.7,9,NA,NA,NA,0.08925,4.27581,0,0.92304,0.1601,0.00481,1.25294,NA,NA,NA,0,NA,NA,NA,12.45,NA,NA,NA,NA,0.12,NA,NA,NA,-122.3,-16.9,0.00125,0.00342,0,0.00212,2.3e-4,7.6e-4,3.1e-4,2e-4,0,2.5e-4,0.03772
NA,Terminus,2016-07-16T00:16:00Z,197,2016,3,15,NA,7.55,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11,NA,NA,NA,-120.58,-16.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,lake_inlet,2016-07-16T17:56:00Z,198,2016,10.3,22,NA,8.07,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.31,NA,NA,NA,-113.41,-15.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Terminus,2016-07-16T19:40:00Z,198,2016,1.7,13,NA,8.24,7,NA,NA,NA,0.25955,3.08188,0.30867,0.08648,0.1569,0.00743,0.21702,NA,NA,NA,0.33,NA,0.25,NA,2.96,NA,NA,NA,NA,0.06,NA,NA,NA,-120.46,-16.71,0.0017,0.0029,0,0,0,0.00108,0,0,0,0,0.00579
NA,lake_inlet,2016-07-17T17:08:00Z,199,2016,9.7,21,NA,7.71,10,NA,NA,NA,0,0,0,0,0,0,0.15679,NA,NA,NA,0,NA,NA,NA,1.02,NA,NA,NA,NA,0.28,NA,NA,NA,-109.04,-14.14,0,0,0,0,0,0,0,0,0,0,0
NA,Terminus,2016-07-17T18:37:00Z,199,2016,1.7,14,NA,8.31,8,NA,NA,NA,0.17931,3.35553,0.25864,0.08712,0.14014,0.00761,0.17707,NA,NA,NA,0.31,NA,0.31,NA,2.68,NA,NA,NA,NA,0.08,NA,NA,NA,-119.87,-16.6,0.00126,0.00346,0,0,0,0.00109,0,0,0,0,0.00341
NA,lake_inlet,2016-07-18T17:46:00Z,200,2016,10.6,23,NA,7.47,11,NA,NA,NA,0.04094,4.94782,0,0.15315,0,0,0.36384,NA,NA,NA,0,NA,NA,NA,44.75,NA,NA,NA,NA,0.33,NA,NA,NA,-112.09,-15.14,0.00464,0.00231,0,0.00144,2.5e-4,0,0,1.8e-4,0,0,0.01174
NA,Terminus,2016-07-18T19:46:00Z,200,2016,1.4,13,NA,8.1,6,NA,NA,NA,0.4951,3.50777,0.3444,0.29971,0.23277,0.01122,0.3203,NA,NA,NA,0,NA,NA,NA,2.83,NA,NA,NA,NA,0.09,NA,NA,NA,-120.22,-16.55,0.00244,0.01131,7.3e-4,0.00213,1.8e-4,0.00128,8.1e-4,1.5e-4,0,0.00117,0.01663
NA,stream_gauge,2016-07-19T18:30:00Z,201,2016,2.3,15,NA,7.96,7,NA,NA,NA,0.28574,3.94029,0.41458,0.29258,0.20095,0.01236,0.45291,NA,NA,NA,0.56,NA,0.3,NA,5.18,NA,NA,NA,NA,0.1,NA,NA,NA,-118.83,-16.41,0.00154,0.00474,9.4e-4,0.00237,0,0.00222,0,0,0,0,0.01135
NA,Terminus,2016-07-19T19:51:00Z,201,2016,3,5,NA,7.81,7,NA,NA,NA,0.33751,4.38811,0.50968,0.25117,0.22928,0.01528,0.35023,NA,NA,NA,0.4,NA,0.36,NA,5.28,NA,NA,NA,NA,0.09,NA,NA,NA,-119.67,-16.53,0.00168,0.00542,9.6e-4,0.00334,0,0.00239,7.9e-4,0,0,0,0.009
NA,Nellie_Juan,2016-07-19T20:06:00Z,201,2016,6.2,28,NA,7.68,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.14,NA,NA,NA,-113.21,-15.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Terminus,2016-08-15T17:25:00Z,228,2016,NA,NA,NA,NA,NA,NA,NA,NA,0.24501,2.72196,0.40598,0,0.17844,0.01104,0,NA,NA,NA,0,NA,0.28,NA,2.11,NA,NA,NA,NA,0.03,NA,NA,NA,-117.91,-16.32,0.00112,0.00356,7.6e-4,0,0,0.00135,0,0,0,0,0.00365
NA,Terminus,2016-08-16T16:45:00Z,229,2016,NA,NA,NA,NA,NA,NA,NA,NA,0.20459,2.0614,0.37703,0,0.13598,0.01017,0,NA,NA,NA,0,NA,0.27,NA,1.56,NA,NA,NA,NA,0.14,NA,NA,NA,-118.39,-16.53,0.00104,0.00335,0,0,0,0.00126,0,0,0,0,0.00265
NA,Terminus,2016-08-16T23:00:00Z,229,2016,1.4,16,NA,9.1,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.12,NA,NA,NA,-119.72,-17.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Terminus,2016-08-17T02:00:00Z,229,2016,1.4,16,NA,8.98,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.14,NA,NA,NA,-119.29,-15.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Terminus,2016-08-17T18:00:00Z,230,2016,1.7,17,NA,8.92,8,NA,NA,NA,0.16487,3.27348,0.284,0.05727,0.15667,0.00837,0,NA,NA,NA,0,NA,0.26,NA,2.77,NA,NA,NA,NA,0.14,NA,NA,NA,-118.33,-15.73,0.00115,0.00382,0,0,0,0.00115,0,0,0,0,0.00401
NA,Terminus,2016-08-17T23:00:00Z,230,2016,2.6,30,NA,8.3,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.12,NA,NA,NA,-113.03,-15.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Terminus,2016-08-18T02:00:00Z,230,2016,2,25,NA,8.36,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.14,NA,NA,NA,-108.42,-14.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Terminus,2016-08-18T18:00:00Z,231,2016,1.4,16,NA,8.68,8,NA,NA,NA,0.30096,3.85722,0.26991,0.12725,0.20766,0.00812,0,NA,NA,NA,0,NA,NA,NA,16.56,NA,NA,NA,NA,0.12,NA,NA,NA,-117.98,-16.09,0.00151,0.00735,0,0.00117,2.2e-4,7.2e-4,3.7e-4,2.2e-4,0,7.6e-4,0.00286
NA,Terminus,2016-08-18T23:00:00Z,231,2016,1.9,21,NA,8.64,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.14,NA,NA,NA,-111.06,-14.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Terminus,2016-08-19T02:00:00Z,231,2016,1.8,17,NA,8.65,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.14,NA,NA,NA,-117.88,-15.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Terminus,2016-08-19T18:00:00Z,232,2016,1.9,20,NA,8.97,10,NA,NA,NA,0.1594,3.13688,0.25686,0,0.15322,0.00852,0,NA,NA,NA,0,NA,0.3,NA,2.68,NA,NA,NA,NA,0.12,NA,NA,NA,-120.03,-16.21,0.00112,0.00335,0,0,0,0.001,0,0,0,0,0.00197
NA,Terminus,2016-08-19T23:00:00Z,232,2016,1.6,19,NA,8.62,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11,NA,NA,NA,-120.28,-16.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Terminus,2016-08-20T02:00:00Z,232,2016,1.8,20,NA,8.67,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11,NA,NA,NA,-119.94,-16.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Terminus,2016-08-20T18:00:00Z,233,2016,1.6,19,NA,9.02,10,NA,NA,NA,0.09653,2.08776,0.16551,0.28934,0,0.00493,0.27482,NA,NA,NA,0.3,NA,0.25,NA,1.18,NA,NA,NA,NA,0.11,NA,NA,NA,-120.61,-16.2,8.5e-4,0.00243,0,0,0,8.1e-4,0,0,0,0,0.00816
NA,Terminus,2016-08-20T23:00:00Z,233,2016,1.8,20,NA,8.68,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.09,NA,NA,NA,-119.89,-16.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Terminus,2016-08-21T02:00:00Z,233,2016,1.6,15,NA,8.64,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.16,NA,NA,NA,-119.04,-16.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Terminus,2016-08-21T18:00:00Z,234,2016,1.5,20,NA,8.61,10,NA,NA,NA,0.14885,3.23537,0.10775,0.10117,0.14245,0.00477,0,NA,NA,NA,0,NA,0.56,NA,1.04,NA,NA,NA,NA,0.14,NA,NA,NA,-120.57,-16.08,0.00124,0.0048,0,5.5e-4,1.9e-4,0,2.4e-4,1.5e-4,0,4.1e-4,0.00173
NA,Terminus,2016-08-22T03:04:00Z,234,2016,1.6,21,NA,8.39,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.12,NA,NA,NA,-120.05,-16.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Terminus,2016-08-22T18:00:00Z,235,2016,2,18,NA,8.27,9,NA,NA,NA,0.15025,2.01066,0.23078,0.0949,0.09808,0.00656,0.15266,NA,NA,NA,0,NA,0.2,NA,1.57,NA,NA,NA,NA,0.13,NA,NA,NA,-119.29,-15.94,0.00113,0.00303,0,0,0,9.9e-4,0,0,0,0,0.00349
NA,Terminus,2016-08-23T02:00:00Z,235,2016,1.7,17,NA,8.06,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.25,NA,NA,NA,-110.2,-14.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Terminus,2016-08-23T18:00:00Z,236,2016,1.4,16,NA,8.51,8,NA,NA,NA,0.09657,0.4024,0.15443,0,0,0.00371,0,NA,NA,NA,0,NA,0.12,NA,0,NA,NA,NA,NA,0.1,NA,NA,NA,-118.12,-15.96,2.9e-4,0.00156,0,0,0,4.8e-4,0,0,0,0,0.00117
NA,lake_inlet,2016-08-23T23:00:00Z,236,2016,NA,NA,NA,NA,NA,NA,NA,NA,0.01713,5.35235,0,0,0,0,0.41088,NA,NA,NA,0,NA,0.25,NA,1.65,NA,NA,NA,NA,NA,NA,NA,NA,-105.08,-14.07,0.00102,0.00373,0,0,0,0,0,0,0,0,0.00132
NA,Terminus,2016-08-24T02:00:00Z,236,2016,1.9,22,NA,7.96,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.15,NA,NA,NA,-104.08,-13.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Terminus,2016-08-24T18:00:00Z,237,2016,1.4,18,NA,8.72,9,NA,NA,NA,0.12304,5.97784,0.19215,0.09691,0.21062,0.00603,0.15706,NA,NA,NA,0,NA,0.33,NA,4.77,NA,NA,NA,NA,0.11,NA,NA,NA,-113.48,-15.25,0.00124,0.00434,0,0,0,9.6e-4,0,0,0,0,0.00163
NA,Terminus,2016-08-25T02:00:00Z,237,2016,1.8,18,NA,8.36,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.13,NA,NA,NA,-110.52,-14.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
