SampleID,Site,Datetime,doy,yearS,Temperature,SpC,DO,pH,TDS,Turbidity,ANC_H,ANC_CACO3,Al,Ca,Fe,K,Mg,Mn,Na,Si,Sr,Fl,Chloride,Br,Nitrate,Phosphate_P,Sulfate,Ammonium_N,Nitrate_plus_Nitrite_N,TP,TN,DOC,FI,HIX,FDOM_lab,d2H,d18O,As,Ba,Cr,Cu,Mo,Ni,Pb,Sb,Se,V,Zn
NA,lake_inlet,2016-08-25T18:20:00Z,238,2016,NA,NA,NA,NA,NA,NA,NA,NA,0.01935,6.12638,0,0,0.11744,0,0.36476,NA,NA,NA,0,NA,NA,NA,0.3,NA,NA,NA,NA,2.12,NA,NA,NA,-101.12,-13.56,0.00167,0.0054,0,3.8e-4,4e-4,0,0,3.3e-4,0,0,0.00301
NA,Terminus,2016-08-25T22:15:00Z,238,2016,1.8,21,NA,8.76,10,NA,NA,NA,0.11328,13.34999,0.17371,0.29845,0.42623,0.00515,0.43835,NA,NA,NA,0,NA,0.42,NA,10.71,NA,NA,NA,NA,0.12,NA,NA,NA,-100.06,-13.29,0.00192,0.00741,0,0,0.0011,0.00162,0,0.00103,5.9e-4,0,0.00203
NA,Nellie_Juan,2016-08-26T20:30:00Z,239,2016,NA,NA,NA,NA,NA,NA,NA,NA,0.00934,4.54825,0,0.14109,0.2592,0.00297,0.36533,NA,NA,NA,0.25,NA,0.38,NA,3.47,NA,NA,NA,NA,NA,NA,NA,NA,-110.71,-15.22,4.8e-4,0.00301,0,0,0,3.6e-4,0,0,0,0,0.00395
NA,Nellie_Juan,2016-08-26T20:45:00Z,239,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.91,NA,NA,NA,-109.58,-15.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Nellie_Juan,2016-08-26T20:55:00Z,239,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86,NA,NA,NA,-109.77,-15.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,stream_gauge,2016-09-07T20:46:00Z,251,2016,2.1,23,NA,8.6,11,NA,NA,NA,0.17404,3.99621,0.33403,0.36844,0.22192,0.0076,0.41712,NA,NA,NA,0.42,NA,0.33,NA,3.26,NA,NA,NA,NA,1.67,NA,NA,NA,-120.14,-16.49,0.00192,0.00307,0,0.00119,6.8e-4,0.00108,4.1e-4,1.9e-4,0,0,0.00545
NA,Terminus,2016-09-07T21:17:00Z,251,2016,1.1,18,NA,8.29,9,NA,NA,NA,0.16787,1.47161,0.28251,0.25225,0.08911,0.00715,0.1355,NA,NA,NA,0,NA,0.25,NA,1.33,NA,NA,NA,NA,0.04,NA,NA,NA,-120.13,-16.35,7.8e-4,0.00307,7.1e-4,0,0,0.00108,0,0,0,0,0.00569
NA,lake_inlet,2016-09-07T22:45:00Z,251,2016,11.7,46,NA,7.78,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.34,NA,NA,NA,-106.06,-14.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Terminus,2016-09-08T19:22:00Z,252,2016,0.8,20,NA,6.99,10,NA,NA,NA,0.28269,3.72784,0.19303,0.12819,0.2135,0.00562,0.10869,NA,NA,NA,0,NA,0.71,NA,52.19,NA,NA,NA,NA,0.02,NA,NA,NA,-120.81,-16.59,0.00133,0.00787,0,7.5e-4,2.8e-4,5.6e-4,3.1e-4,2e-4,0,7.3e-4,0.00199
NA,lake_inlet,2016-09-09T19:27:00Z,253,2016,6.7,47,NA,7.75,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.25,NA,NA,NA,-107.63,-14.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,lake_inlet,2016-09-11T18:00:00Z,255,2016,6.2,53,NA,7.02,27,NA,NA,NA,0.00653,9.94805,0,0,0.2007,0,0.75975,NA,NA,NA,0,NA,0,NA,1.67,NA,NA,NA,NA,1.34,NA,NA,NA,-107.33,-14.13,8.3e-4,0.00547,0,4.1e-4,3.8e-4,0,1e-4,2.5e-4,0,0,0.00274
NA,Terminus,2016-09-11T20:05:00Z,255,2016,0.9,16,NA,7.66,8,NA,NA,NA,0.01886,1.74232,0,0,0,0.00131,0,NA,NA,NA,0,NA,0.37,NA,4.1,NA,NA,NA,NA,0.01,NA,NA,NA,-117.17,-16.17,7e-4,0.00196,0,0,2.1e-4,0,0,1.1e-4,0,0,0
NA,lake_inlet,2016-09-12T17:33:00Z,256,2016,7.3,33,NA,6.84,17,NA,NA,NA,0.02898,3.81329,0,0.0936,0,0,0.29995,NA,NA,NA,0,NA,0.16,NA,1.05,NA,NA,NA,NA,2.54,NA,NA,NA,-99.81,-13.32,8.3e-4,0.00319,0,0,0,3.1e-4,0,0,0,0,0.00374
NA,Nellie_Juan,2016-09-13T22:08:00Z,257,2016,6.5,45,NA,7.4,22,NA,NA,NA,0.67971,1.27401,1.11608,0.12078,0.32864,0.02892,0,NA,NA,NA,0,NA,0.11,NA,0,NA,NA,NA,NA,0.98,NA,NA,NA,-105.36,-14.81,0.00104,0.01131,0.00236,0.00376,0,0.00295,0.00147,0,0,0,0.02367
NA,Terminus,2016-09-13T22:18:00Z,257,2016,1.9,32,NA,7.53,16,NA,NA,NA,1.37904,4.71828,2.18402,0.40626,0.8501,0.05538,0.5324,NA,NA,NA,0.25,NA,0.29,NA,4.54,NA,NA,NA,NA,0.1,NA,NA,NA,-115.33,-15.95,0.00547,0.02185,0.00452,0.00994,0,0.00907,0.00334,0,0,0.00231,0.02459
NA,lake_inlet,2016-10-15T20:00:00Z,289,2016,NA,NA,NA,NA,NA,NA,NA,NA,0.00809,9.37024,0,0.0314,0.17931,0,0.68191,NA,NA,NA,0,NA,0.23,NA,2.17,NA,NA,NA,NA,1.2,1.41,NA,NA,NA,NA,4.2e-4,0.0046,0,0,3.4e-4,3.6e-4,0,1.5e-4,0,0,0.0013
NA,Terminus,2016-10-15T20:15:00Z,289,2016,NA,NA,NA,NA,NA,NA,NA,NA,0.09684,7.60517,0,0.12015,0.36628,0.00276,0.49684,NA,NA,NA,0.29,NA,0.26,NA,7.01,NA,NA,NA,NA,0.03,1.44,NA,NA,NA,NA,0.00282,0.0033,0,0,6.8e-4,7.2e-4,2.1e-4,2.9e-4,0,0,0.00252
NA,stream_gauge,2017-04-20T21:45:00Z,110,2017,0,142,NA,NA,NA,NA,NA,NA,NA,21.43,NA,0.23,0.56,NA,1.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.62,NA,NA,NA,-120.34,-16.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Nellie_Juan,2017-04-20T22:40:00Z,110,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.82,NA,NA,NA,-108.38,-15.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Tundra,2017-04-28T19:30:00Z,118,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,NA,-107.11,-14.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Terminus,2017-04-28T20:15:00Z,118,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.17,NA,NA,NA,-126.84,-17.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Tundra,2017-05-10T23:00:00Z,130,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.82,NA,NA,NA,-123.49,-16.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Nellie_Juan,2017-05-11T00:00:00Z,130,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.81,NA,NA,NA,-114.39,-15.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Terminus,2017-06-16T02:50:00Z,166,2017,0.9,51,NA,7.59,NA,NA,NA,NA,NA,9.55,NA,0.3,0.41,NA,0.62,NA,NA,NA,NA,NA,NA,0,NA,0,0.012,NA,NA,0.11,NA,NA,NA,-125.65,-17.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Tundra,2017-06-16T04:09:00Z,166,2017,2.7,16,NA,7.04,NA,NA,NA,NA,NA,4.36,NA,0.05,0.09,NA,0.37,NA,NA,NA,NA,NA,NA,0,NA,0,0.022,NA,NA,0.34,NA,NA,NA,-129.35,-17.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,lake_inlet,2017-06-16T04:41:00Z,166,2017,6.3,21,NA,7.29,NA,NA,NA,NA,NA,5.99,NA,0.06,0.11,NA,0.38,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,-125.05,-16.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Terminus,2017-06-18T00:10:00Z,168,2017,0.9,45,NA,7.68,NA,NA,NA,NA,NA,9.2,NA,0.24,0.39,NA,0.53,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,0.09,NA,NA,NA,-124.6,-16.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Tundra,2017-06-18T01:24:00Z,168,2017,3.1,12,NA,6.89,NA,NA,NA,NA,NA,4.53,NA,0.06,0.1,NA,0.38,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,0.3,NA,NA,NA,-126.02,-16.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,lake_inlet,2017-06-18T01:40:00Z,168,2017,10.2,23,NA,7.3,NA,NA,NA,NA,NA,6.36,NA,0.05,0.11,NA,0.4,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,1.03,NA,NA,NA,-121.34,-16.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Terminus,2017-06-18T23:37:00Z,169,2017,0.8,40,NA,7.61,NA,NA,NA,NA,NA,8.51,NA,0.18,0.32,NA,0.49,NA,NA,NA,NA,NA,NA,0,NA,0,0.01,NA,NA,NA,NA,NA,NA,-131.49,-17.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Tundra,2017-06-19T00:21:00Z,169,2017,3.6,14,NA,6.99,NA,NA,NA,NA,NA,4.29,NA,0.03,0.09,NA,0.33,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,0.33,NA,NA,NA,-120.74,-16.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,lake_inlet,2017-06-19T00:52:00Z,169,2017,10.6,24,NA,7.35,NA,NA,NA,NA,NA,6.82,NA,0.05,0.11,NA,0.41,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,0.44,NA,NA,NA,-122.95,-16.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,lake_inlet,2017-06-19T16:15:00Z,170,2017,3.2,29,NA,7.22,NA,NA,NA,NA,NA,7.44,NA,0.04,0.13,NA,0.45,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,0.78,NA,NA,NA,-124.65,-16.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Terminus,2017-06-19T19:46:00Z,170,2017,0.7,46,NA,7.64,NA,NA,NA,NA,NA,9.83,NA,0.23,0.38,NA,0.57,NA,NA,NA,NA,NA,NA,0,NA,0,0.016,NA,NA,NA,NA,NA,NA,-132.36,-17.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Nellie_Juan,2017-06-19T20:08:00Z,170,2017,4.6,44,NA,7.32,NA,NA,NA,NA,NA,9.65,NA,0.17,0.43,NA,0.66,NA,NA,NA,NA,NA,NA,0,NA,0,0.024,NA,NA,NA,NA,NA,NA,-120.45,-16.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,stream_gauge,2017-07-21T03:15:00Z,201,2017,0.8,20,13.96,7.27,NA,160,NA,NA,NA,3.75,NA,0.05,0.04,NA,0.05,NA,NA,NA,NA,NA,NA,0,NA,0,0.012,NA,NA,0.29,NA,NA,NA,-120.77,-16.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Nellie_Juan,2017-07-21T04:15:00Z,201,2017,5.2,29,NA,6.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0.014,NA,NA,0.41,NA,NA,NA,-112.38,-15.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Terminus,2017-07-21T04:44:00Z,201,2017,0.6,17,NA,8.43,NA,NA,NA,NA,NA,7,NA,0.14,0.3,NA,0.38,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,0.19,NA,NA,NA,-121.59,-16.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Tundra,2017-07-21T19:44:00Z,202,2017,10.1,12,NA,7.12,NA,NA,NA,NA,NA,4.71,NA,0.07,0.13,NA,0.18,NA,NA,NA,NA,NA,NA,0,NA,0.0942,0.027,NA,NA,0.38,NA,NA,NA,-118.01,-16.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,lake_inlet,2017-07-21T20:28:00Z,202,2017,14,47,NA,7.6,NA,NA,NA,NA,NA,4.56,NA,0.1,0.1,NA,0.38,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,0.72,NA,NA,NA,-113.61,-15.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Terminus,2017-07-23T22:25:00Z,204,2017,0.7,15,NA,6.97,NA,NA,NA,NA,NA,5.21,NA,0.08,0.14,NA,0.19,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,0.23,NA,NA,NA,-117.12,-15.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Tundra,2017-07-24T00:14:00Z,204,2017,13.1,19,NA,7.29,NA,NA,NA,NA,NA,4.02,NA,0.08,0.13,NA,0.2,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,0.26,NA,NA,NA,-115.81,-15.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,lake_inlet,2017-07-24T00:54:00Z,204,2017,16.5,50,NA,7.73,NA,NA,NA,NA,NA,18.26,NA,0.25,0.48,NA,0.9,NA,NA,NA,NA,NA,NA,0,NA,0.0411,0,NA,NA,0.84,NA,NA,NA,-113.27,-15.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Tundra,2017-07-24T19:50:00Z,205,2017,19.6,13,NA,6.8,NA,NA,NA,NA,NA,2.7,NA,0.09,0.04,NA,0.05,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,0.56,NA,NA,NA,-116.41,-15.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,lake_inlet,2017-07-24T20:30:00Z,205,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.61,NA,0.05,0.03,NA,0.05,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,0.69,NA,NA,NA,-114.68,-15.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Terminus,2017-07-24T23:15:00Z,205,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.53,NA,0.1,0.1,NA,0.38,NA,NA,NA,NA,NA,NA,0,NA,0,0.012,NA,NA,0.15,NA,NA,NA,-121.15,-16.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Nellie_Juan,2017-07-25T00:50:00Z,205,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.09,NA,0.05,0.12,NA,0.18,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,0.27,NA,NA,NA,-113.78,-15.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Nellie_Juan,2017-09-08T17:25:00Z,251,2017,4.4,39,13.25,6.95,NA,72,NA,NA,NA,17.89,NA,0.26,0.47,NA,0.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.84,NA,NA,NA,-112.87,-14.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,stream_gauge,2017-09-08T18:30:00Z,251,2017,1.1,27,13.7,6.63,NA,72,NA,NA,NA,6.76,NA,0.12,0.31,NA,0.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,NA,NA,NA,-116.76,-14.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Terminus,2017-09-08T19:19:00Z,251,2017,0.8,27,13.43,6.85,NA,70,NA,NA,NA,8.41,NA,0.21,0.43,NA,0.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.16,NA,NA,NA,-120.35,-15.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Tundra,2017-09-08T20:40:00Z,251,2017,6.6,28,11.16,7.11,NA,17,NA,NA,NA,5.73,NA,0.13,0.25,NA,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.71,NA,NA,NA,-115.39,-15.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,lake_inlet,2017-09-08T21:35:00Z,251,2017,6.7,37,10.92,7.31,NA,0,NA,NA,NA,14.95,NA,0.24,0.35,NA,0.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.08,NA,NA,NA,-119,-15.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Terminus,2017-09-10T19:50:00Z,253,2017,0.7,25,13.58,6.77,NA,62,NA,NA,NA,8.59,NA,0.1,0.15,NA,0.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,-126.26,-16.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Tundra,2017-09-10T21:30:00Z,253,2017,7.3,28,11.05,7.34,NA,1,NA,NA,NA,5.57,NA,0.13,0.24,NA,0.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,NA,NA,NA,-117.61,-15.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,lake_inlet,2017-09-10T22:43:00Z,253,2017,9.4,37,10.4,7.14,NA,0,NA,NA,NA,8.11,NA,0.12,0.25,NA,0.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1,NA,NA,NA,-120.76,-15.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,lake_inlet,2017-09-12T17:06:00Z,255,2017,5.9,45,11.42,7.39,NA,0,NA,NA,NA,11.09,NA,0.2,0.25,NA,0.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,NA,NA,NA,-120.82,-15.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Tundra,2017-09-12T17:40:00Z,255,2017,6.6,30,11.4,7.27,NA,0,NA,NA,NA,8.18,NA,0.11,0.06,NA,0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,NA,-118.25,-15.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Terminus,2017-09-12T18:50:00Z,255,2017,0.7,28,13.42,6.98,NA,39,NA,NA,NA,9.1,NA,0.1,0.17,NA,0.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,-128.78,-16.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Nellie_Juan,2017-09-12T21:45:00Z,255,2017,5.7,48,13.11,6.48,NA,31,NA,NA,NA,7.03,NA,0.1,0.15,NA,0.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11,NA,NA,NA,-120.69,-15.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,stream_gauge,2017-09-15T08:00:00Z,258,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.94,NA,0.11,0.26,NA,0.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Nellie_Juan,2017-10-17T08:00:00Z,290,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,NA,0.06,0.02,NA,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,stream_gauge,2017-10-17T08:00:00Z,290,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.24,NA,0.19,0.47,NA,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WG0001,Terminus,2019-06-17T00:30:00Z,167,2019,NA,40.33,NA,5.48,NA,NA,303.88,15.21,0.09,6.91,0.08,0.21,0.36,0.01,0.78,0.54,0.04,NA,0.3,NA,0.01,0,7.45,0,0.01,0,0.01,0.29,1.24,NA,NA,-126.324,-16.502,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WG0002,Terminus,2019-06-17T01:20:00Z,167,2019,NA,34.39,NA,5.68,NA,NA,225.32,11.28,0.03,6.37,0.02,0.19,0.32,0,0.6,0.39,0.04,NA,0.3,NA,0,0,6.88,0,0,0,0,3.13,1.37,NA,NA,-127.132,-16.291,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WG0003,Tundra,2019-06-17T02:45:00Z,167,2019,NA,17.22,NA,5.63,NA,NA,165.83,8.3,0,3.21,0,0.12,0.09,0,0.7,0.67,0.02,NA,0.23,NA,0,0,1.15,0,0,0,0,1.48,1.25,NA,NA,-119.409,-15.681,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WG0004,Tundra,2019-06-17T22:45:00Z,168,2019,NA,13.58,NA,5.54,NA,NA,120.8,6.05,0,2.5,0,0.08,0.08,0,0.55,0.48,0.02,NA,0.24,NA,0.01,0,1.04,0,0,0,0,0.33,1.24,NA,NA,-122.077,-16.795,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WG0006,Tundra,2019-06-18T02:00:00Z,168,2019,NA,12.04,NA,5.53,NA,NA,94.16,4.71,0,2.08,0,0.05,0.07,0,0.53,0.39,0.01,NA,0.2,NA,0.01,0,0.99,0,0,0,0,0.27,1.25,NA,NA,-121.561,-16.538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WG0014,glacier_hut,2019-06-19T18:00:00Z,170,2019,NA,48,NA,5.65,NA,NA,251.5,12.59,0.02,7.84,0.01,0.25,0.5,0,0.95,0.42,0.04,NA,0.65,NA,0.05,0,9.57,0.01,0.05,0,0.09,0.3,1.2,NA,NA,-127.006,-16.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WG0015,Tundra,2019-06-19T21:10:00Z,170,2019,NA,16.02,NA,5.58,NA,NA,140.94,7.05,0,2.64,0,0.07,0.08,0,0.53,0.52,0.02,NA,0.2,NA,0.01,0,1.02,0,0,0,0,0.43,1.29,NA,NA,-124.709,-16.483,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WG0016,Terminus,2019-06-19T22:20:00Z,170,2019,NA,33.99,NA,5.68,NA,NA,208.87,10.45,0.06,5.66,0.05,0.18,0.32,0,0.66,0.45,0.03,NA,0.36,NA,0.02,0,5.54,0,0.02,0,0,0.36,1.19,NA,NA,-121.126,-16.298,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WG0017,shrub_creek,2019-06-20T00:20:00Z,170,2019,NA,25.04,NA,5.61,NA,NA,195.77,9.8,0,4.59,0,0.09,0.11,0,0.75,0.76,0.02,NA,0.2,NA,0.01,0,1.68,0,0,0,0,0.39,1.35,NA,NA,-125.964,-16.923,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
